2023 OBS Spring Sale,,,,,,,,,,,,,,,,,,,,
"April 25-28, 2023",,Adjusted 7/28/23,,,,,,,,,,,,,,,,,,
Hip,Name,Color,Sex,Foal Date,Sire,Dam,Damsire,Sort by Dam,Consignor,State,Barn,UT Time,Set,Day,Buyer,Price,Post Sale,Out,Out Date,Alphabetic Consignor Sort
918,,B,F,3/31/2021,Street Sense,Seacrettina,Sea of Secrets,SeaofSecrets,"Cesar Loya Training & Sales, Agent II",KY,20,out,119,21-Apr,Withdrawn,Out,,out,4/27/2023,Loya Training & Sales Cesar 
919,,GR/RO,C,1/18/2021,Tapwrit,Sea Holiday,Harlan's Holiday,HarlansHoliday,"Kings Equine, Agent VIII",KY,1,10.0,11,21-Apr,"Jeremiah O'Dwyer, Agent","40,000",PS,,,Kings Equine
920,,B,F,3/8/2021,Hard Spun,Sea Level Drive,Malibu Moon,MalibuMoon,"Sequel Bloodstock, Agent",KY,9,out,17,21-Apr,Withdrawn,Out,,out,4/24/2023,Sequel Bloodstock
921,,DB/BR,C,4/14/2021,Twirling Candy,Sea Queen,Lemon Drop Kid,LemonDropKid,"Mayberry Farm, Agent V",KY,B,10.1,48,21-Apr,Mike Maker,"20,000",PS,,,Mayberry Farm
922,,CH,F,2/27/2021,Catholic Boy,Season Ticket,Lemon Drop Kid,LemonDropKid,"Niall Brennan Stables, Agent XX",KY,8,10.3,118,21-Apr,Withdrawn,Out,,,,Brennan Niall
923,,DB/BR,C,4/30/2021,Outwork,Seattle Artist,Stormy Atlantic,StormyAtlantic,"Kings Equine, Agent VIII",KY,1,10.0,88,21-Apr,"Jeremiah O'Dwyer, Agent","100,000",,,,Kings Equine
924,Sassy Allie,DB/BR,F,2/1/2021,Coal Front,Seattle Sass,Chief Seattle,ChiefSeattle,"Wavertree Stables, Inc. (Ciaran Dunne), Agent",KY,5,9.4,24,21-Apr,"Meah/Lloyd Bloodstock, Agent for Rob Falcone Jr","85,000",,,,"Wavertree Stables, Inc."
925,,CH,F,2/8/2021,Street Boss,Se Bella,Forestry,Forestry,"Julie Davies LLC, Agent XXVIII",KY,19,10.0,46,21-Apr,"45,000",Not Sold,,,,Davies Julie
926,,B,F,2/25/2021,Solomini,Secret Candy,Candy Ride (ARG),CandyRideARG,"Omar Ramirez Bloodstock, Agent XL",NY,15,10.1,98,21-Apr,SJB Stable Trust,"40,000",,,,Ramirez Omar
927,,CH,C,2/9/2021,Collected,Segment,Algorithms,Algorithms,"Niall Brennan Stables, Agent XI",KY,8,10.2,50,21-Apr,"Tom Clark, Agent for Rose of Rumson Racing","50,000",,,,Brennan Niall
928,,B,C,2/10/2021,Nyquist,Seize the Ring,Tiznow,Tiznow,"Lucan Bloodstock (Karl Keegan), Agent",KY,18,20.4,38,21-Apr,Schermerhorn / Drown,"535,000",,,,Lucan Bloodstock
929,,CH,C,4/23/2021,Audible,Sensational Charge,Will Take Charge,WillTakeCharge,"All Dreams Equine, Agent II",FL,20,out,25,21-Apr,Withdrawn,Out,,out,4/27/2023,All Dreams Equine
930,,DB/BR,F,3/14/2021,Firing Line,Sensational Gold,Medaglia d'Oro,MedagliadOro,Grassroots Training & Sales LLC,IN,J,out,,21-Apr,Withdrawn,Out,,out,3/29/2023,Grassroots Training & Sales LLC
931,,DB/BR,F,2/13/2021,Honor Code,Sense of War,Street Sense,StreetSense,"Oak Creek Thoroughbreds, Agent I",KY,16,out,,21-Apr,Withdrawn,Out,,out,3/30/2023,Oak Creek Thoroughbreds
932,,CH,C,2/8/2021,Vino Rosso,Serious I Candy,Candy Ride (ARG),CandyRideARG,"Harris Training Center LLC, Agent I",KY,13,10.1,37,21-Apr,"K.O.I.D. Co., Ltd.","30,000",PS,,,Harris Training Center LLC
933,Show Boat,CH,C,3/11/2021,Khozan,Settling Seas,Stormy Atlantic,StormyAtlantic,"Journeyman Bloodstock Services, Inc. (Brent & Crystal Fernung), Agent",FL,2,10.2,97,21-Apr,Just For Fun Stables LLC,"45,000",,,,Journeyman Bloodstock
934,,CH,F,3/2/2021,Audible,Set to Dance,Distorted Humor,DistortedHumor,"Wavertree Stables, Inc. (Ciaran Dunne), Agent",ON,5,10.0,54,21-Apr,"90,000",Not Sold,,,,"Wavertree Stables, Inc."
935,,DB/BR,C,4/12/2021,Astern (AUS),Seven Deadly Sins,Action This Day,ActionThisDay,"Hoppel's Horse & Cattle Co., Inc.",NY,9,21.0,79,21-Apr,"37,000",Not Sold,,,,"Hoppel's Horse & Cattle Co., Inc."
936,Seven Taylors,DB/BR,C,3/2/2021,Upstart,Seven Feathers,Stephanotis,Stephanotis,Shamrock Stables LLC,KY,15,out,,21-Apr,Withdrawn,Out,,out,4/6/2023,Shamrock Stables LLC
937,,DB/BR,F,2/13/2021,Cairo Prince,Shady Reflection,Sultry Song,SultrySong,"Eisaman Equine, Agent",KY,7,10.0,35,21-Apr,Dennis O'Neill,"120,000",,,,Eisaman Equine
938,Yo Elvis,B,C,3/30/2021,Mucho Macho Man,Shanghai Lady,Shanghai Bobby,ShanghaiBobby,Grassroots Training & Sales LLC,KY,J,10.3,77,21-Apr,Spencer Chung,"10,000",,,,Grassroots Training & Sales LLC
939,,DB/BR,C,5/5/2021,Twirling Candy,Shapely,Empire Maker,EmpireMaker,"Julie Davies LLC, Agent XVIII",KY,19,10.2,126,21-Apr,Withdrawn,Out,,,,Davies Julie
940,,B,C,4/25/2021,Omaha Beach,Shape Shifter,Lookin At Lucky,LookinAtLucky,"Cortez Racing & Sales, Agent IV",KY,20,9.4,68,21-Apr,Harry Rosenblum,"47,000",PS,,,Cortez Racing & Sales
941,,GR/RO,F,2/15/2021,The Factor,Sharbat,Dynaformer,Dynaformer,"GOP Racing Stable Corp., Agent II",KY,16,10.3,78,21-Apr,Emanuel Colon Alamo,"15,000",,,,GOP Racing Stable Corp.
942,,B,C,2/9/2021,Lookin At Lucky,Shawnee Moon,Forestry,Forestry,"Crane Thoroughbred Services LLC, Agent",KY,19,10.0,75,21-Apr,"West Point Thoroughbreds, LEB agent","500,000",,,,Crane Clovis
943,,B,C,4/23/2021,Accelerate,Shea Darby,Street Sense,StreetSense,"Grassroots Training & Sales LLC, Agent",NY,J,10.3,120,21-Apr,John P. Warren,"23,000",,,,Grassroots Training & Sales LLC
944,,CH,C,3/12/2021,Good Magic,She Be Classy,Toccet,Toccet,"Cary Frommer LLC, Agent I",KY,10,out,,21-Apr,Withdrawn,Out,,out,3/27/2023,Frommer Cary
945,,DB/BR,C,5/4/2021,Uncle Mo,She'screative,Creative Cause,CreativeCause,"Niall Brennan Stables, Agent VI",KY,8,out,,21-Apr,Withdrawn,Out,,out,4/16/2023,Brennan Niall
946,,B,C,5/14/2021,Constitution,She's Offlee Good,Offlee Wild,OffleeWild,"Julie Davies LLC, Agent VI",KY,19,out,,21-Apr,Withdrawn,Out,,out,4/20/2023,Davies Julie
947,,B,F,3/1/2021,Mo Town,She's Our Angel,Fusaichi Pegasus,FusaichiPegasus,"AVP Training and Sales, Agent",FL,17,10.2,132,21-Apr,S.R.O.A. (KOID),"20,000",,,,AVP Training and Sales
948,She Loves Munny,CH,F,4/3/2021,Munnings,She's Overwelming,Albert the Great,AlberttheGreat,"de Meric Sales, Agent XXVII",PA,12,10.1,52,21-Apr,Withdrawn,Out,,,,de Meric Sales
949,,B,C,2/12/2021,Catalina Cruiser,She's Trouble,Into Mischief,IntoMischief,"Top Line Sales LLC, Agent IV",KY,14,10.0,85,21-Apr,Ira Ashwal,"25,000",,,,Top Line Sales
950,,DB/BR,F,3/11/2021,Coal Front,She's With It,Justin Phillip,JustinPhillip,"S G V Thoroughbreds LLC (Steven Venosa), Agent",KY,1,10.1,103,21-Apr,A1 Racing,"60,000",PS,,,S G V Thoroughbreds
951,,DB/BR,F,4/21/2021,Street Sense,Shimmer,Pulpit,Pulpit,"Lucan Bloodstock (Karl Keegan), Agent",KY,18,21.1,115,21-Apr,"120,000",Not Sold,,,,Lucan Bloodstock
952,,GR/RO,C,2/22/2021,Frosted,Shoppers Return,Put It Back,PutItBack,"Gene Recio, Agent IV",KY,17,10.1,60,21-Apr,"195,000",Not Sold,,,,Recio Gene
953,,CH,C,2/25/2021,Flameaway,Shotdowninflames,Trappe Shot,TrappeShot,"S B M Training and Sales, Agent XII",FL,3,10.1,29,21-Apr,Withdrawn,Out,,,,S B M Training and Sales
954,,DB/BR,F,2/23/2021,Audible,Shot Gun Pennie,Speightstown,Speightstown,"Off the Hook LLC, Agent II",KY,13,10.0,10,21-Apr,Hooties Racing LLC,"310,000",,,,Off the Hook LLC
955,,B,F,3/24/2021,Mendelssohn,Shovalla,Ghostzapper,Ghostzapper,"Eddie Woods, Agent VIII",KY,11,21.0,61,21-Apr,Little Red Feather Racing,"250,000",,,,Woods Eddie
956,,B,C,5/1/2021,Practical Joke,Showgirl Form,Dynaformer,Dynaformer,"S G V Thoroughbreds LLC (Steven Venosa), Agent",KY,1,10.1,142,21-Apr,"Nick J. Hines, Agent for Dr. Rod Orr","72,000",,,,S G V Thoroughbreds
957,,GR/RO,C,2/16/2021,My Golden Song,Show Me the Bling,Too Much Bling,TooMuchBling,"Pick View LLC, Agent X",TX,G,10.1,16,21-Apr,Scott Gelner,"50,000",PS,,,Pick View LLC
958,,DB/BR,F,4/18/2021,Audible,Showtime Sis,Euroears,Euroears,"Off the Hook LLC, Agent XXI",KY,13,10.0,41,21-Apr,"Joe Hardoon, Agent","135,000",,,,Off the Hook LLC
959,,B,C,3/1/2021,Bernardini,Shrilanka,Pleasantly Perfect,PleasantlyPerfect,"Paul Sharp, Agent I",KY,C,10.2,62,21-Apr,Alex & JoAnn Lieblong,"230,000",,,,Sharp Paul M.
960,,B,F,3/12/2021,Mor Spirit,Sikara (IRE),Aussie Rules,AussieRules,"Grassroots Training & Sales LLC, Agent",LA,J,10.1,57,21-Apr,"22,000",Not Sold,,,,Grassroots Training & Sales LLC
961,,B,C,4/3/2021,Omaha Beach,Silent Circle,Indian Charlie,IndianCharlie,"Wavertree Stables, Inc. (Ciaran Dunne), Agent VI",KY,5,9.4,42,21-Apr,Spendthrift Farm LLC,"350,000",,,,"Wavertree Stables, Inc."
962,,CH,F,2/11/2021,Distorted Humor,Silent Triumph,City Zip,CityZip,"Wavertree Stables, Inc. (Ciaran Dunne), Agent",KY,5,10.0,96,21-Apr,"Alistair Roden Bld., for MKW Racing & Breeding","180,000",,,,"Wavertree Stables, Inc."
963,,B,C,2/23/2021,Hard Spun,Silken Lily,Grand Slam,GrandSlam,"Niall Brennan Stables, Agent IV",NY,8,10.1,5,21-Apr,Whitehorse Stables,"100,000",,,,Brennan Niall
964,,GR/RO,C,3/13/2021,Good Magic,Silver Dollar Diva,Harlan's Holiday,HarlansHoliday,"Niall Brennan Stables, Agent I",KY,8,10.1,76,21-Apr,Kenneth L. Ramsey,"120,000",,,,Brennan Niall
965,,GR/RO,F,2/7/2021,Girvin,Silver to Gold,Zensational,Zensational,"Bobby Dodd, Agent I",FL,10,10.1,31,21-Apr,"Harmash Racing, Agent Lauren Robson","65,000",,,,Dodd Bobby
966,,B,C,4/27/2021,Flatter,Simply Sunny,Unbridled's Song,UnbridledsSong,"Niall Brennan Stables, Agent I",KY,8,10.4,102,21-Apr,Withdrawn,Out,,,,Brennan Niall
967,,B,C,4/16/2021,Into Mischief,Singing Kitty,Ministers Wild Cat,MinistersWildCat,"Wavertree Stables, Inc. (Ciaran Dunne), Agent VI",KY,5,9.3,72,21-Apr,More Play,"1,300,000",,,,"Wavertree Stables, Inc."
968,,B,F,3/25/2021,Goldencents,Sirenage,Quality Road,QualityRoad,"Davis Breaking and Training, Inc., Agent I",KY,17,10.2,86,21-Apr,C.H.P.R.,"20,000",,,,"Davis Breaking and Training, Inc."
969,,DB/BR,C,4/21/2021,Adios Charlie,Siren Cove,Montbrook,Montbrook,Ocala Stud,FL,4,22.1,138,21-Apr,"Fernando Abreu, Agent","10,000",,,,Ocala Stud
970,,B,C,3/12/2021,Preservationist,Siren Spell,Colonel John,ColonelJohn,New Hope AB LLC,ON,1,10.3,108,21-Apr,C.H.P.R.,"24,000",PS,,,New Hope LLC
971,,CH,C,3/30/2021,Flameaway,Sixtyfivenorth,Midshipman,Midshipman,"Randy Miles, Agent XVIII",KY,18,out,,21-Apr,Withdrawn,Out,,out,4/21/2023,Miles Randy
972,,B,F,1/17/2021,Union Rags,Skeptic,Tiznow,Tiznow,"Wavertree Stables, Inc. (Ciaran Dunne), Agent XVII",KY,5,21.0,3,21-Apr,Kathy Miller,"110,000",,,,"Wavertree Stables, Inc."
973,,DB/BR,C,4/7/2021,Coal Front,Skinner Box,Freud,Freud,"Wavertree Stables, Inc. (Ciaran Dunne), Agent VI",KY,5,out,,21-Apr,Withdrawn,Out,,out,4/21/2023,"Wavertree Stables, Inc."
974,,B,F,3/9/2021,Always Dreaming,Skip a Step,Giant's Causeway,GiantsCauseway,"S G V Thoroughbreds LLC (Steven Venosa), Agent",FL,1,10.0,51,21-Apr,"Patrick L. Biancone, Agent","50,000",,,,S G V Thoroughbreds
975,,CH,F,3/14/2021,First Samurai,Sky Dweller,Orb,Orb,"Randy Miles, Agent I",KY,18,out,,21-Apr,Withdrawn,Out,,out,4/21/2023,Miles Randy
976,,CH,C,2/17/2021,Solomini,Sky Gal,Sky Mesa,SkyMesa,"Top Line Sales LLC, Agent XLIII",NY,14,10.2,136,21-Apr,"32,000",Not Sold,,,,Top Line Sales
977,,B,F,1/27/2021,City of Light,Slieve Mish,Bernardini,Bernardini,"Niall Brennan Stables, Agent VIII",KY,8,10.3,19,21-Apr,Withdrawn,Out,,,,Brennan Niall
978,,DB/BR,C,3/3/2021,Connect,Slightly Tipsy,Uncle Mo,UncleMo,"Coastal Equine LLC (Jesse Hoppel), Agent VIII",KY,A,10.2,110,21-Apr,Gokmen Kaya,"10,000",,,,Coastal Equine LLC
979,,GR/RO,F,1/28/2021,Arrogate,Smooth Path,Scat Daddy,ScatDaddy,"Eisaman Equine, Agent",KY,7,10.2,74,21-Apr,"Cherie De Vaux, Agent","400,000",,,,Eisaman Equine
980,,B,C,5/7/2021,Practical Joke,Snap Cat,Tale of the Cat,TaleoftheCat,Kinsman Farm,KY,8,10.1,104,21-Apr,"95,000",Not Sold,,,,Kinsman Farm
981,,DB/BR,C,4/11/2021,Twirling Candy,Soarwiththebirds,Giant's Causeway,GiantsCauseway,"Grassroots Training & Sales LLC, Agent",MD,J,out,,21-Apr,Withdrawn,Out,,out,3/29/2023,Grassroots Training & Sales LLC
982,He Be Hoppin,B,C,5/12/2021,Hoppertunity,So Blessed,Chapel Royal,ChapelRoyal,"Silvestre Chavez Thoroughbreds, Agent V",MD,17,out,73,21-Apr,Withdrawn,Out,,out,4/27/2023,Chavez Thoroughbreds Silvestre 
983,,DB/BR,F,3/7/2021,Liam's Map,Socialized,City Zip,CityZip,"Omar Ramirez Bloodstock, Agent XXIX",KY,15,21.1,56,21-Apr,James Zahler,"40,000",PS,,,Ramirez Omar
984,,CH,F,3/15/2021,Vino Rosso,So Fancy,Tapit,Tapit,"Eddie Woods, Agent LVII",KY,11,out,,21-Apr,Withdrawn,Out,,out,4/19/2023,Woods Eddie
985,,B,F,4/14/2021,City of Light,So Honest,To Honor and Serve,ToHonorandServe,"Mayberry Farm, Agent VI",KY,B,out,,21-Apr,Withdrawn,Out,,out,4/21/2023,Mayberry Farm
986,,B,F,2/10/2021,Maximus Mischief,Solar Dance,Kingmambo,Kingmambo,"Off the Hook LLC, Agent IV",FL,13,out,,21-Apr,Withdrawn,Out,,out,4/15/2023,Off the Hook LLC
987,Lotsa Trouble,CH,C,3/16/2021,World of Trouble,Solar Surge,Bernardini,Bernardini,"Sequel Bloodstock, Agent for Chester & Mary Broman",NY,9,10.1,106,21-Apr,Lucan Bloodstock Agt for Anstu Stables,"70,000",PS,,,Sequel Bloodstock
988,,DB/BR,C,5/7/2021,Jimmy Creed,Soldier On,Flatter,Flatter,"Two Oaks Equine, Agent I",KY,E,out,,21-Apr,Withdrawn,Out,,out,4/17/2023,Two Oaks Equine
989,,CH,F,1/27/2021,Constitution,Soluna,Tiznow,Tiznow,"Wavertree Stables, Inc. (Ciaran Dunne), Agent VI",KY,5,10.0,80,21-Apr,Winchell Thoroughbreds LLC,"190,000",,,,"Wavertree Stables, Inc."
990,,B,F,2/26/2021,Constitution,Somasach,Johannesburg,Johannesburg,"Omar Ramirez Bloodstock, Agent XLI",KY,15,10.1,13,21-Apr,"70,000",Not Sold,,,,Ramirez Omar
991,,GR/RO,F,3/1/2021,Midshipman,So Mischievous,Into Mischief,IntoMischief,"Hidden Brook, Agent II",KY,9,out,,21-Apr,Withdrawn,Out,,out,4/17/2023,Hidden Brook Farm
992,,DB/BR,C,3/12/2021,Flatter,Song Sung True,Unbridled's Song,UnbridledsSong,"Omar Ramirez Bloodstock, Agent XX",KY,15,out,,21-Apr,Withdrawn,Out,,out,4/21/2023,Ramirez Omar
993,,B,C,2/26/2021,Into Mischief,Song to the Moon,Successful Appeal,SuccessfulAppeal,"de Meric Sales, Agent XXVI",KY,12,10.0,12,21-Apr,Withdrawn,Out,,,,de Meric Sales
994,Crevalle d'Oro,DB/BR,F,2/13/2021,Constitution,Sonoma d'Oro,Medaglia d'Oro,MedagliadOro,"White Lilac (Katie Miranda), Agent III",KY,17,10.1,134,21-Apr,Withdrawn,Out,,,,White Lilac (Katie Miranda)
995,,DB/BR,F,2/1/2021,Distorted Humor,Sophia Mia,Pioneerof the Nile,PioneeroftheNile,"S G V Thoroughbreds LLC (Steven Venosa), Agent",KY,1,9.4,8,21-Apr,"Alistair Roden Bld., for MKW Racing & Breeding","485,000",,,,S G V Thoroughbreds
996,,B,F,4/11/2021,Munnings,Soul of Fashion,Perfect Soul (IRE),PerfectSoulIRE,"Tom McCrocklin, Agent XII",KY,2,21.1,144,21-Apr,Withdrawn,Out,,,,McCrocklin Tom
997,,B,C,4/26/2021,Mineshaft,Southern Gem,Smart Strike,SmartStrike,"White Lilac (Katie Miranda), Agent IV",KY,17,10.3,26,21-Apr,"Michael V. Pino, Agent for Travin Stable","52,000",,,,White Lilac (Katie Miranda)
998,,B,F,3/13/2021,Violence,Southern Truth,Yes It's True,YesItsTrue,"Niall Brennan Stables, Agent IV",KY,8,10.1,67,21-Apr,"70,000",Not Sold,,,,Brennan Niall
999,,B,F,4/20/2021,Accelerate,So You Know,Jump Start,JumpStart,"Niall Brennan Stables, Agent XVII",NY,8,11.2,141,21-Apr,PWF,"8,000",,,,Brennan Niall
1000,,DB/BR,C,5/26/2021,Sharp Azteca,Spandrel,Arch,Arch,"Tradewinds Farm, Agent I",KY,1,10.3,64,21-Apr,"47,000",Not Sold,,,,Tradewinds Farm
1001,,B,F,2/17/2021,Vino Rosso,Special Blessing,Flat Out,FlatOut,"Grassroots Training & Sales LLC, Agent",LA,J,10.1,20,21-Apr,Ricky LaGrange & Scott LaGrange,"65,000",,,,Grassroots Training & Sales LLC
1002,,CH,C,3/27/2021,Tapiture,Special Gal,Pioneerof the Nile,PioneeroftheNile,"Fabian Sales LLC, Agent",KY,16,21.0,34,21-Apr,Michael Langford,"60,000",,,,Fabian Sales
1003,,B,C,3/25/2021,Into Mischief,Special Relativity,Cowboy Cal,CowboyCal,"Oak Creek Thoroughbreds, Agent I",KY,16,10.3,113,21-Apr,Withdrawn,Out,,,,Oak Creek Thoroughbreds
1004,,CH,C,1/23/2021,Tapiture,Special Trip,Gemologist,Gemologist,"Longoria Training & Sales, Agent I",KY,13,10.1,94,21-Apr,Joe Davis,"90,000",,,,Longoria Training & Sales
1005,,B,F,3/27/2021,Good Magic,Speedy Soul,Souper Speedy,SouperSpeedy,"Best A Luck Farm LLC, Agent I",KY,3,9.4,66,21-Apr,"Oracle Bloodstock, Agent","150,000",,,,Best A Luck Farm LLC
1006,,CH,F,3/3/2021,Audible,Speightlass,Speightstown,Speightstown,"Randy Miles, Agent VII",KY,18,10.0,49,21-Apr,Withdrawn,Out,,,,Miles Randy
1007,,B,F,2/10/2021,Enticed,Speightsy Heart,Speightstown,Speightstown,"Randy Miles, Agent IV",KY,18,10.1,27,21-Apr,Riley Mott Racing Stable,"140,000",,,,Miles Randy
1008,,GR/RO,C,4/16/2021,Vino Rosso,Spicy Temper,Unbridled's Song,UnbridledsSong,"Eddie Woods, Agent VIII",NY,11,10.1,22,21-Apr,Badan Alsubaie,"30,000",,,,Woods Eddie
1009,,CH,C,4/21/2021,Vino Rosso,Spinstress,Hard Spun,HardSpun,"Tom McCrocklin, Agent II",KY,2,21.3,93,21-Apr,C.H.P.R.,"15,000",PS,,,McCrocklin Tom
1010,,CH,F,1/31/2021,Nyquist,Spirit Lets Hearit,Girolamo,Girolamo,"Niall Brennan Stables, Agent XII",KY,8,10.1,36,21-Apr,Three Diamonds Farm LLC,"75,000",PS,,,Brennan Niall
1011,,DB/BR,C,5/4/2021,World of Trouble,Spirit of Shanghai,Shanghai Bobby,ShanghaiBobby,RiceHorse Stable (Brandon & Ali Rice),KY,6,10.4,133,21-Apr,John McAllen,"9,000",,,,RiceHorse
1012,,CH,F,2/7/2021,Speightstown,Spooky Woods,Ghostzapper,Ghostzapper,"Scanlon Training & Sales, Agent for Excel Bloodstock (Bruno DeBerdt)",KY,1,9.3,21,21-Apr,"Bradley Thoroughbreds LLC, Agent","485,000",,,,Scanlon Training Center
1013,,CH,F,4/20/2021,English Channel,Spring Blossom,A.P. Indy,APIndy,"Eddie Woods, Agent XI",KY,11,out,,21-Apr,Withdrawn,Out,,out,4/21/2023,Woods Eddie
1014,Light Em Up,B,C,3/22/2021,City of Light,Spritely,Touch Gold,TouchGold,"Sequel Bloodstock, Agent for Chester & Mary Broman",NY,9,21.1,55,21-Apr,High Point Bloodstock for Rap Racing,"100,000",,,,Sequel Bloodstock
1015,,B,C,5/17/2021,Frankel (GB),Squeeze (IRE),Danehill Dancer (IRE),DanehillDancerIRE,"Wavertree Stables, Inc. (Ciaran Dunne), Agent XIX",KY,5,10.2,139,21-Apr,"Chad Schumer, Agent","40,000",,,,"Wavertree Stables, Inc."
1016,,CH,C,4/21/2021,The Big Beast,Star Anna,Domestic Dispute,DomesticDispute,Hawk's Rest LLC,FL,17,out,,21-Apr,Withdrawn,Out,,out,4/10/2023,Hawk's Rest LLC
1017,,B,F,1/21/2021,Khozan,Starship Crystal,Congrats,Congrats,"Halcyon Hammock Farm, Agent I",FL,2,out,33,21-Apr,Withdrawn,Out,,out,4/21/2023,Halcyon Hammock Farm
1018,,B,F,3/23/2021,Preservationist,Starship Elusive,Elusive Quality,ElusiveQuality,"Global Thoroughbreds LLC, Agent",KY,10,10.2,83,21-Apr,Robert M. Jones,"30,000",,,,Global Thoroughbreds LLC
1019,,DB/BR,F,1/20/2021,Golden Lad,Starsof the Nile,Pioneerof the Nile,PioneeroftheNile,"Fabian Sales LLC, Agent III",MD,16,21.4,127,21-Apr,"15,000",Not Sold,,,,Fabian Sales
1020,,B,F,5/12/2021,Collected,Star Torina,A.P. Indy,APIndy,Grassroots Training & Sales LLC,KY,J,10.4,131,21-Apr,Don Wehby,"20,000",,,,Grassroots Training & Sales LLC
1021,,DB/BR,F,4/5/2021,Bee Jersey,St. Borealis,War Chant,WarChant,"Coastal Equine LLC (Jesse Hoppel), Agent",FL,A,21.0,18,21-Apr,"K.O.I.D. Co., Ltd.","11,000",,,,Coastal Equine LLC
1022,,B,C,4/9/2021,Upstart,Stehekin,Arch,Arch,Two Oaks Equine,KY,E,10.1,30,21-Apr,"Brooke Hubbard, Agent","50,000",,,,Two Oaks Equine
1023,,B,F,1/31/2021,Midshipman,Sticks Wondergirl,Stevie Wonderboy,StevieWonderboy,"Oak Creek Thoroughbreds, Agent I",KY,16,out,,21-Apr,Withdrawn,Out,,out,3/30/2023,Oak Creek Thoroughbreds
1024,,DB/BR,F,4/27/2021,Nyquist,Stiffed,Stephen Got Even,StephenGotEven,"Wavertree Stables, Inc. (Ciaran Dunne), Agent VI",KY,5,20.2,14,21-Apr,"Speedway Stables, LLC","900,000",,,,"Wavertree Stables, Inc."
1025,,B,F,4/19/2021,Audible,Stifled Heiress,Munnings,Munnings,"de Meric Sales, Agent XVIII",FL,12,10.1,123,21-Apr,Winchell Thoroughbreds LLC,"90,000",,,,de Meric Sales
1026,,DB/BR,C,3/29/2021,Frac Daddy,Stoney Miss,Birdstone,Birdstone,Sterling Thoroughbreds,ON,16,10.3,65,21-Apr,"17,000",Not Sold,,,,Sterling Thoroughbreds
1027,,CH,C,5/25/2021,Bird Song,Storied Tale,Tale of the Cat,TaleoftheCat,"Julie Davies LLC, Agent XVII",KY,19,10.0,91,21-Apr,"Marylou Whitney Stables LLC, Randy Bradshaw, Agt","75,000",,,,Davies Julie
1028,,DB/BR,F,3/16/2021,Munnings,Storm Crossing,Tiznow,Tiznow,"Top Line Sales LLC, Agent XIV",NY,14,10.1,2,21-Apr,Silver Lining Racing,"75,000",PS,,,Top Line Sales
1029,,DB/BR,F,3/5/2021,Violence,Stormy Antics,Stormy Atlantic,StormyAtlantic,"Eisaman Equine, Agent",KY,7,10.3,125,21-Apr,Three Crowns Farm LLC,"22,000",,,,Eisaman Equine
1030,,B,F,4/13/2021,Curlin,Stradivarius,Street Cry (IRE),StreetCryIRE,"Eisaman Equine, Agent",KY,7,10.2,6,21-Apr,"Legion Bloodstock, Agt for Cal Lynch","200,000",PS,,,Eisaman Equine
1031,,CH,F,2/23/2021,Catholic Boy,Street Flirt,Street Boss,StreetBoss,"Eisaman Equine, Agent",KY,7,10.4,145,21-Apr,Melvin Simonovich,"25,000",,,,Eisaman Equine
1032,,B,F,1/31/2021,Bucchero,Street Smart,Street Sense,StreetSense,"Wavertree Stables, Inc. (Ciaran Dunne), Agent",FL,5,10.1,107,21-Apr,"The Four Horsemen Racing Stable, Inc.","25,000",,,,"Wavertree Stables, Inc."
1033,Sounds Like Power,GR/RO,C,4/4/2021,Power Jam,Street Sounds,Street Cry (IRE),StreetCryIRE,"Blas Perez Stables, Agent VIII",LA,20,10.0,43,21-Apr,Scott Gelner,"50,000",,,,Perez Stables Blas 
1034,,DB/BR,C,4/19/2021,Constitution,Strike Free,Smart Strike,SmartStrike,"Eddie Woods, Agent VIII",KY,11,10.2,84,21-Apr,Big Window Racing,"20,000",,,,Woods Eddie
1035,Spideymon,B,C,1/28/2021,Karakontie (JPN),Style Show,Red Ransom,RedRansom,"Rivera Training and Sales, Agent II",FL,6,10.1,58,21-Apr,Badan Alsubaie,"45,000",,,,Rivera Training and Sales
1036,,B,F,4/9/2021,Into Mischief,Succeeding,Smart Strike,SmartStrike,"Eddie Woods, Agent XXIV",KY,11,9.4,4,21-Apr,Richard Schermerhorn / Team Hanley / 30 Year Farm,"725,000",,,,Woods Eddie
1037,,B,F,2/28/2021,Malibu Moon,Successful Slew,Successful Appeal,SuccessfulAppeal,"Cesar Loya Training & Sales, Agent II",KY,20,21.0,39,21-Apr,Withdrawn,Out,,,,Loya Training & Sales Cesar 
1038,,DB/BR,F,5/9/2021,Collected,Sudden Heat,Congrats,Congrats,"Top Line Sales LLC, Agent XXXIII",KY,14,out,,21-Apr,Withdrawn,Out,,out,4/19/2023,Top Line Sales
1039,,B,C,2/11/2021,The Factor,Sullivyn's Rose,Bernardini,Bernardini,"Randy Bradshaw, Agent V",KY,10,10.1,71,21-Apr,"75,000",Not Sold,,,,Bradshaw Randy
1040,,CH,F,4/19/2021,Flatter,Summer Reading,Hard Spun,HardSpun,"Golden Rock Thoroughbreds, Agent I",ON,D,10.0,81,21-Apr,"Patrice Miller EQB, Inc. for Men's Grille Racing","140,000",,,,Golden Rock Thoroughbreds
